연도,자치구,동,은행수
2007,관악구,신림8동,1.0
2007,관악구,신림9동,4.0
2007,관악구,신림11동,2.0
2007,관악구,신림12동,2.0
2007,서초구,소계,216.0
2007,서초구,서초1동,13.0
2007,서초구,서초2동,30.0
2007,서초구,서초3동,32.0
2007,서초구,서초4동,19.0
2007,서초구,잠원동,19.0
2007,서초구,반포본동,9.0
2007,서초구,반포1동,7.0
2007,서초구,반포2동,4.0
2007,서초구,반포4동,17.0
2007,서초구,방배본동,8.0
2007,서초구,방배1동,6.0
2007,서초구,방배2동,4.0
2007,서초구,방배3동,6.0
2007,서초구,방배4동,15.0
2007,서초구,양재1동,11.0
2007,서초구,양재2동,16.0
2007,강남구,소계,398.0
2007,강남구,신사동,43.0
2007,강남구,논현1동,20.0
2007,강남구,논현2동,31.0
2007,강남구,압구정1동,4.0
2007,강남구,압구정2동,3.0
2007,강남구,청담1동,13.0
2007,강남구,청담2동,7.0
2007,강남구,삼성1동,39.0
2007,강남구,삼성2동,16.0
2007,강남구,대치1동,17.0
2007,강남구,대치2동,7.0
2007,강남구,대치3동,16.0
2007,강남구,대치4동,25.0
2007,강남구,역삼1동,72.0
2007,강남구,역삼2동,21.0
2007,강남구,도곡1동,17.0
2007,강남구,도곡2동,17.0
2007,강남구,개포1동,5.0
2007,강남구,개포2동,3.0
2007,강남구,개포3동,2.0
2007,강남구,개포4동,5.0
2007,강남구,세곡동,1.0
2007,강남구,일원본동,5.0
2007,강남구,일원1동,5.0
2007,강남구,일원2동,1.0
2007,강남구,수서동,3.0
2007,송파구,소계,154.0
2007,송파구,풍납1동,1.0
2007,송파구,풍납2동,4.0
2007,송파구,거여2동,4.0
2007,송파구,마천1동,1.0
2007,송파구,마천2동,3.0
2007,송파구,방이1동,2.0
2007,송파구,방이2동,12.0
2007,송파구,오륜동,2.0
2007,송파구,오금동,6.0
2007,송파구,송파1동,8.0
